name,type,attrs
apps.medcommons.net,Apps Home (EC2/i-95ac1efc) <small><a target='_new' href='https://my.rightscale.com/clouds/1/ec2_instances/661405' title='(rs/aws)'>(rs/aws)</a></small>
fb01.medcommons.net,Facebook Primary (EC2/i-8ad80be3) <small><a target='_new'  href='http://apps.facebook.com/hbmonitor' title='(monitor)'>(monitor)</a></small> <small><a target='_new' href='https://my.rightscale.com/clouds/1/ec2_instances/382184' title='(rs/aws)'>(rs/aws)</a></small>
fb02.medcommons.net,Facebook Backup (EC2/i-8dd80be4) <small><a target='_new'  href='http://apps.facebook.com/hbmonitor' title='(monitor)'>(monitor)</a></small> <small><a target='_new' href='https://my.rightscale.com/clouds/1/ec2_instances/382185' title='(rs/aws)'>(rs/aws)</a></small>
healthurl.medcommons.net,Healthurl Service (EC2/i-ca65baa3) <small><a target='_new'  href='https://healthurl.medcommons.net/router/SelfTest.action' title='(test)'>(test)</a></small> <small><a target='_new' href='https://my.rightscale.com/clouds/1/ec2_instances/571610' title='(rs/aws)'>(rs/aws)</a></small>
n0000.medcommons.net,MOD Service Node (EC2/i-f570d19c) <small><a target='_new' href='https://n0000.medcommons.net/router/SelfTest.action' title='(test)'>(test)</a></small> <small><a target='_new' href='https://my.rightscale.com/clouds/1/ec2_instances/571610' title='(rs/aws)'>(rs/aws)</a></small>
n0001.medcommons.net,MOD Service Node (EC2/i-016ecf68) <small><a target='_new' href='https://n0001.medcommons.net/router/SelfTest.action' title='(test)'>(test)</a></small> <small><a target='_new' href='https://my.rightscale.com/clouds/1/ec2_instances/608389' title='(rs/aws)'>(rs/aws)</a></small>
hot.medcommons.net,MOD Hot Spare (EC2/i-084a9061) <small><a target='_new' href='https://hot.medcommons.net/router/SelfTest.action' title='(test)'>(test)</a></small> <small><a target='_new' href='https://my.rightscale.com/clouds/1/ec2_instances/438326' title='(rs/aws)'>(rs/aws)</a></small>
pantagruel.medcommons.net,Micro Node (ARTiGO Pico-ITX A-1K) <small><a target='_new' href='https://tenth.medcommons.net/router/SelfTest.action' title='(test)'>(test)</a></small>
tenth.medcommons.net,MOD Vouchers/IS Home (EC2/i-3397675a) <small><a target='_new' href='https://tenth.medcommons.net/router/SelfTest.action' title='(test)'>(test)</a></small> <small><a target='_new' href='https://my.rightscale.com/clouds/1/ec2_instances/498243' title='(rs/aws)'>(rs/aws)</a></small>
public.medcommons.net,CCR Commons Node (EC2/i-31728358) <small><a target='_new' href='https://public.medcommons.net/router/SelfTest.action' title='(test)'>(test)</a></small> <small><a target='_new' href='https://my.rightscale.com/clouds/1/ec2_instances/382170' title='(rs/aws)'>(rs/aws)</a></small>
simtrak.medcommons.net,Simtrak Node (EC2/i-b30286da) <small><a target='_new' href='https://simtrak.medcommons.net/router/SelfTest.action' title='(test)'>(test)</a></small> <small><a target='_new' href='https://my.rightscale.com/clouds/1/ec2_instances/771817' title='(rs/aws)'>(rs/aws)</a></small>
dicomondemand.com,Dicom On Demand Home (EC2/i-fc895395) <small><a target='_new' href='https://my.rightscale.com/clouds/1/ec2_instances/430311' title='(rs/aws)'>(rs/aws)</a></small>
familycareteam.com,Family Care Team Home (EC2/i-8ad80be3) <small><a target='_new' href='https://my.rightscale.com/clouds/1/ec2_instances/382184' title='(rs/aws)'>(rs/aws)</a></small>
