Table,Field Name,Field Type,Length,Decimals,Field Description,Report Writer Heading

FACILITY,FACILITYID,C,10,0,,
FACILITY,CREATEUSER,C,4,0,User who created the record,UseC
FACILITY,CREATEDATE,D,8,0,Date record was created,DateCr
FACILITY,CREATETIME,C,8,0,Time record was created,TimeCr
FACILITY,MODIFYUSER,C,4,0,User who last modified the record,UseM
FACILITY,MODIFYDATE,D,8,0,Date record was last modified,DateMod
FACILITY,MODIFYTIME,C,8,0,Time record was last modified,TimeMod
FACILITY,FACTYPE,C,25,0,Facility type,Facility Type
FACILITY,FACILITY,C,40,0,Facility name,Facility Name
FACILITY,LNAME,C,20,0,Doctor last name,Facility Last Name
FACILITY,FNAME,C,15,0,Doctor first name,Fac First Name
FACILITY,MI,C,1,0,Doctor middle initial,M
FACILITY,SPECIALTY,C,25,0,Doctor specialty,Facility Specialty
FACILITY,ADDRESS1,C,30,0,Facility address line 1,Facility Address 1
FACILITY,ADDRESS2,C,30,0,Facility address line 2,Facility Address 2
FACILITY,CITY,C,20,0,Facility city,Facility City
FACILITY,STATE,C,2,0,Facility state,FS
FACILITY,ZIP,C,10,0,Facility zip code,Fac Zip
FACILITY,PROVINCE,C,20,0,Facility province,Facility Province
FACILITY,COUNTRY,C,20,0,Facility country,Facility Country
FACILITY,WPHONE,C,20,0,Doctor work phone number,Facility WPhone
FACILITY,HPHONE,C,20,0,Doctor home phone number,Facility HPhone
FACILITY,FAX,C,20,0,Doctor fax number,Facility Fax
FACILITY,EMAIL,C,30,0,Doctor e-mail address,Facility E-Mail
FACILITY,CELL,C,20,0,Doctor cell phone number,Facility Cell
FACILITY,PAGER,C,20,0,Doctor pager number,Facility Pager
FACILITY,OTHER,M,4,0,Doctor other contact methods,Other Contact Methods
FACILITY,CATEGORY,C,25,0,Physician category - SportPharm,Physician Category
FACILITY,AOR,L,1,0,Agent of record,
FACILITY,PA,L,1,0,Pharmacy authorization,
FACILITY,UMEL,L,1,0,Unsecured medication exception list,
FACILITY,TP,L,1,0,Treatment protocol,
FACILITY,ATMO,L,1,0,ATMO information form,
FACILITY,SIGNATURE,G,4,0,Physician digital signature,
FACILITY,CHGMARK,C,1,0,,


Table,Field Name,Field Type,Length,Decimals,Field Description,Report Writer Heading

FACTRN,FACTRNID,C,10,0,,
FACTRN,PERSONID,C,10,0,,
FACTRN,FACILITYID,C,10,0,,
FACTRN,INJURYID,C,10,0,,
FACTRN,PROGRESSID,C,10,0,,
FACTRN,CREATEUSER,C,4,0,User who created the record,UseC
FACTRN,CREATEDATE,D,8,0,Date record was created,DateCr
FACTRN,CREATETIME,C,8,0,Time record was created,TimeCr
FACTRN,MODIFYUSER,C,4,0,User who last modified the record,UseM
FACTRN,MODIFYDATE,D,8,0,Date record was last modified,DateMod
FACTRN,MODIFYTIME,C,8,0,Time record was last modified,TimeMod
FACTRN,SEASON,C,9,0,"Season (Year - 2000, etc.)",Season
FACTRN,SPORT,C,40,0,Sport,Sport
FACTRN,CONTACT,C,35,0,Contact person,Contact Person
FACTRN,TYPETEST,C,40,0,Type of test performed,Type of Test
FACTRN,TRANSDATE,D,8,0,Transaction (service) date,Trn Date
FACTRN,TOTALCOST,N,10,2,Total cost of the transaction,Total Cost
FACTRN,ASPIRATION,L,1,0,Was there an aspiration? (Y/N),A
FACTRN,AMOUNT,N,3,0,Amount of fluid aspirated,Amt
FACTRN,FLUIDCOLOR,C,20,0,Color of fluid aspirated,Color of Fluid
FACTRN,INJECTION,L,1,0,Was there an injection? (Y/N),I
FACTRN,INJECTTYPE,C,15,0,Type of injection,Inject Type
FACTRN,INJECTMEDS,M,4,0,Medication injected,Medication
FACTRN,DIAGNOSIS,M,4,0,Diagnosis,Diagnosis
FACTRN,COMMENT,M,4,0,Comment,Comment
FACTRN,CHGMARK,C,1,0,,

Table,Field Name,Field Type,Length,Decimals,Field Description,Report Writer Heading

INJURY,INJURYID,C,10,0,,
INJURY,PERSONID,C,10,0,,
INJURY,CREATEUSER,C,4,0,User who created the record,UseC
INJURY,CREATEDATE,D,8,0,Date record was created,DateCr
INJURY,CREATETIME,C,8,0,Time record was created,TimeCr
INJURY,MODIFYUSER,C,4,0,User who last modified the record,UseM
INJURY,MODIFYDATE,D,8,0,Date record was last modified,DateMod
INJURY,MODIFYTIME,C,8,0,Time record was last modified,TimeMod
INJURY,SEASON,C,9,0,"Season (Year - 2000, etc.)",Season
INJURY,SPORT,C,40,0,Sport,Sport
INJURY,TEAMNUMBER,C,2,0,Organization number,O#
INJURY,TEAMNAME,C,35,0,Organization name,Organization Name
INJURY,CLOSED,L,1,0,Is the injury closed? (Y/N),S
INJURY,CLOSEDATE,D,8,0,Date injury was closed,Cls Date
INJURY,SUBMITTED,L,1,0,Has this report been submitted? (Y/N),S
INJURY,SUBMITDATE,D,8,0,Date report was submitted,Sub Date
INJURY,INJURYNO,C,11,0,Injury number,Injury #
INJURY,INJURYDATE,D,8,0,Date of injury,Inj Date
INJURY,ENTERDATE,D,8,0,Date injury report was entered,Ent Date
INJURY,REPORTDATE,D,8,0,Date injury was reported,Rep Date
INJURY,RETURNDATE,D,8,0,Date returned from injury,Ret Date
INJURY,WCOMP,L,1,0,Is this workers compensation? (Y/N),W
INJURY,WORKRELATE,L,1,0,Non-work related? (Y/N),N
INJURY,DISABLED,L,1,0,Person put on the disabled list? (Y/N),D
INJURY,DATEON,D,8,0,Date on the disabled list,Date On
INJURY,NUMBERDAYS,N,3,0,Number of days on the disabled list,# D
INJURY,DATEOFF,D,8,0,Date eligible off the disabled list,Date Elg
INJURY,DAYMISSED,N,4,0,Number of days missed,DMis
INJURY,GAMEMISS1,N,4,0,Number of pre-season games missed,GMPr
INJURY,GAMEMISS2,N,4,0,Number of regular season games missed,GMRe
INJURY,DAYLIMITED,N,4,0,Number of days limited,DLim
INJURY,DAYPRACTIC,N,4,0,Number of practices missed,Prac
